Date,1. open,2. high,3. low,4. close,5. volume
2025-01-20,1632.95,1660.75,1628.0,1651.25,258901.0
2025-01-17,1644.95,1650.15,1628.75,1636.7,183424.0
2025-01-16,1655.75,1660.0,1643.25,1652.75,61998.0
2025-01-15,1658.0,1662.65,1636.25,1642.75,73210.0
2025-01-14,1635.0,1656.25,1635.0,1644.25,460142.0
2025-01-13,1640.0,1646.45,1624.25,1630.1,769153.0
2025-01-10,1670.0,1675.0,1654.15,1657.15,633334.0
2025-01-09,1689.65,1689.65,1658.85,1667.75,165421.0
2025-01-08,1711.0,1712.05,1683.0,1694.15,251904.0
2025-01-07,1710.35,1721.45,1700.0,1714.1,264321.0
2025-01-06,1739.9,1757.45,1705.0,1710.3,1741889.0
2025-01-03,1794.8,1794.8,1746.3,1749.3,402803.0
2025-01-02,1780.5,1803.0,1774.1,1793.35,79075.0
2025-01-01,1775.0,1794.4,1762.0,1782.45,110695.0
2024-12-31,1770.05,1781.35,1768.0,1772.45,107155.0
2024-12-30,1794.95,1815.0,1771.35,1778.7,292506.0
2024-12-27,1790.25,1803.0,1789.5,1797.85,218692.0
2024-12-26,1797.5,1811.4,1781.75,1791.75,104648.0
2024-12-24,1803.95,1806.15,1789.1,1797.65,196465.0
2024-12-23,1780.0,1805.9,1780.0,1801.0,143342.0
2024-12-20,1787.95,1797.35,1766.9,1772.05,249342.0
2024-12-19,1795.05,1800.2,1779.0,1793.45,186084.0
2024-12-18,1832.5,1835.65,1807.45,1811.2,102823.0
2024-12-17,1856.05,1862.25,1826.35,1832.85,104055.0
2024-12-16,1863.0,1870.0,1855.1,1864.8,133759.0
